,"('Sex and Age', 'Under 5 years')","('Sex and Age', '10 to 14 years')","('Sex and Age', '15 to 19 years')","('Sex and Age', '20 to 24 years')","('Sex and Age', '25 to 34 years')","('Sex and Age', '35 to 44 years')","('Sex and Age', '45 to 54 years')","('Sex and Age', '55 to 59 years')","('Sex and Age', '60 to 64 years')","('Sex and Age', '65 to 74 years')","('Sex and Age', '75 to 84 years')","('Sex and Age', '85 years and over')","('Sex and Age', 'Total population')","('Place of Birth', 'Native')","('Place of Birth', 'Born in United States')","('Place of Birth', 'State of residence')","('Place of Birth', 'Different state')","('Place of Birth', 'Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)')","('Place of Birth', 'Foreign born')","('Residence 1 Year Ago', 'Same house')","('Residence 1 Year Ago', 'Different house in the U.S.')","('Residence 1 Year Ago', 'Same county')","('Residence 1 Year Ago', 'Different county')","('Residence 1 Year Ago', 'Same state')","('Residence 1 Year Ago', 'Different state')","('Residence 1 Year Ago', 'Abroad')","('Commuting to Work', 'Car, truck, or van -- drove alone')","('Commuting to Work', 'Car, truck, or van -- carpooled')","('Commuting to Work', 'Public transportation (excluding taxicab)')","('Commuting to Work', 'Walked')","('Commuting to Work', 'Worked from home')","('Commuting to Work', 'Mean travel time to work (minutes)')","('Occupation', 'Civilian employed population 16 years and over')","('Occupation', 'Management, business, science, and arts occupations')","('Occupation', 'Service occupations')","('Occupation', 'Sales and office occupations')","('Occupation', 'Natural resources, construction, and maintenance occupations')","('Occupation', 'Production, transportation, and material moving occupations')",Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,Civilian employed population 16 years and over,Private wage and salary workers,Total households,"Less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,000","$200,000 or more",Median household income (dollars),Mean household income (dollars),Civilian noninstitutionalized population,With health insurance coverage,With private health insurance,With public coverage,No health insurance coverage,Civilian noninstitutionalized population under 19 years,No health insurance coverage.1,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,"('Value', 'Median (dollars)')"
10,0.059645671,0.058864487,0.061628679,0.057903029,0.130706045,0.134574085,0.132951624,0.070153781,0.065124415,0.09546521,0.050074199,0.020434903,765504,0.72072125,0.704099521,0.522626923,0.181472598,0.016621729,0.27927875,0.869425895,0.107534383,0.061562056,0.045972327,0.03536363,0.010608697,0.009623725,0.319264171,0.044765279,0.064012729,0.009182186,0.033526931,36.9,0.49649512,0.223618688,0.1004789,0.090788552,0.035161149,0.04644783,0.49649512,0.003231858,0.035844359,0.029286588,0.009276242,0.046485714,0.026306851,0.009644626,0.039127163,0.090043945,0.109220853,0.051035658,0.027035783,0.01995548,0.49649512,0.389518539,0.35073886,0.012252059,0.011321953,0.014752372,0.017188676,0.024347358,0.045243395,0.042021988,0.066587503,0.041182019,0.075841537,0.135309548,0.19490166,0.99493275,0.934801124,0.704192271,0.348975316,0.060131626,0.233578139,0.006781153,0.699484261,0.04321336,0.043760712,0.115027485,0.131956201,0.052326311,0.184422289,0.128777903,87.6,44.8,0.935660689,0.540202272,0.073708302,0.005678612,0.148106346,0.001883726,0.166081431,0.064339311,735200
11,0.045907795,0.034921982,0.031416063,0.050328023,0.239874638,0.166564507,0.128784187,0.055962627,0.05362492,0.086423347,0.046271979,0.02304879,779824,0.677842693,0.655292733,0.395269958,0.260022774,0.02254996,0.322157307,0.844128932,0.1330095,0.077418751,0.055590749,0.033053612,0.022537137,0.013464577,0.166856881,0.032494512,0.217234915,0.084646023,0.046474589,34.6,0.616827643,0.381283469,0.088445598,0.100985607,0.015159831,0.030953138,0.616827643,0.000754016,0.018997876,0.033597325,0.008089005,0.052572119,0.023931041,0.043847073,0.05011259,0.173846919,0.103350243,0.064858224,0.023946429,0.018924783,0.616827643,0.512021943,0.425683231,0.016919202,0.022901321,0.020618755,0.017871981,0.02412211,0.042612179,0.033007448,0.062566682,0.050684513,0.134379039,0.163229139,0.225826597,0.995368186,0.956845391,0.758713505,0.286450532,0.038522795,0.141725569,0.001119483,0.800554997,0.051232073,0.036521061,0.09140524,0.09903132,0.034897618,0.287169926,0.200297759,89,60.9,0.940855885,0.469048144,0.057891268,0.004253524,0.32790604,0.004409969,0.07734694,0.059144115,1226000
12,0.055559385,0.050942334,0.058407651,0.068160684,0.18854477,0.149250412,0.124190878,0.05417557,0.056286408,0.090159958,0.039947249,0.017354911,768889,0.742995413,0.724441369,0.507348915,0.217092454,0.018554044,0.257004587,0.841090196,0.13893813,0.076818631,0.0621195,0.045881785,0.016237714,0.009940316,0.265858921,0.040441468,0.132935963,0.023193205,0.040167046,34.6,0.538861916,0.29363016,0.083555624,0.086190594,0.026590314,0.048895224,0.538861916,0.002225289,0.027016904,0.030524562,0.009897397,0.043503028,0.030131788,0.020579043,0.032531354,0.10778669,0.126586542,0.052767044,0.033370226,0.021942049,0.538861916,0.404224797,0.383535205,0.022092916,0.018769939,0.023081355,0.023773262,0.030748261,0.047888577,0.038684387,0.065148545,0.041433809,0.071914151,0.119021081,0.164476277,0.995217775,0.945301597,0.707645707,0.331613536,0.049916178,0.197575983,0.005610693,0.719910156,0.042763,0.039313867,0.10720143,0.104800563,0.038550428,0.216650258,0.170630611,88.6,53.8,0.934538015,0.405790693,0.175497373,0.00936286,0.207120924,0.005190606,0.131575559,0.065461985,858500
13,0.048096853,0.051333818,0.05594767,0.060195429,0.156123987,0.140653853,0.132209481,0.072719319,0.061601927,0.096269079,0.052380952,0.021984441,742980,0.608689332,0.589433094,0.452142723,0.137290371,0.019256238,0.391310668,0.87792269,0.10309295,0.050927347,0.052165603,0.040170664,0.011994939,0.009915476,0.341780398,0.054133355,0.092855797,0.01428706,0.030644163,31.2,0.561791704,0.28166707,0.098430644,0.104158928,0.032531158,0.045003903,0.561791704,0.002332499,0.030902581,0.038022558,0.009744542,0.052581496,0.034446418,0.024245606,0.040897467,0.113141673,0.111379849,0.058004253,0.024291367,0.021801394,0.561791704,0.455724246,0.34338744,0.008977361,0.007214191,0.015285741,0.012611376,0.022284584,0.036270155,0.03261999,0.060012383,0.044289214,0.103822445,0.169560419,0.235190718,0.99569975,0.951313629,0.789332149,0.273038305,0.044386121,0.194655307,0.004714797,0.73394304,0.047173544,0.033026461,0.117715147,0.115221137,0.057339363,0.21084686,0.152620528,89.1,49.5,0.947243533,0.43624862,0.025438101,0.004643463,0.362889984,0.01236507,0.105658295,0.052756467,1161400
14,0.05785799,0.070730092,0.054949943,0.049073771,0.135235047,0.157407786,0.141167463,0.067809263,0.05942514,0.083021863,0.041050118,0.0184645,782312,0.646267729,0.630995051,0.496647118,0.134347933,0.015272679,0.353732271,0.885825604,0.095763583,0.049086554,0.046677029,0.036182495,0.010494534,0.009457863,0.329530929,0.043940269,0.047055395,0.005735563,0.029728548,37.4,0.516090767,0.269549745,0.070451431,0.098318829,0.033094213,0.044676548,0.516090767,0.001666854,0.025841352,0.058569982,0.014951835,0.055389666,0.029163556,0.017679647,0.034031179,0.109682582,0.099452648,0.035139433,0.01825103,0.016271002,0.516090767,0.426162452,0.325495454,0.008405853,0.006185512,0.012749389,0.010899743,0.016402663,0.035990756,0.037470983,0.064888433,0.045011453,0.087490669,0.159805806,0.202448639,0.993195809,0.962741208,0.789683656,0.255449233,0.030454601,0.240015493,0.005614128,0.70358118,0.031359611,0.034500302,0.129816493,0.118237992,0.051738948,0.204854329,0.133073505,90.6,48,0.933791122,0.409828815,0.048924214,0.005102823,0.371177995,0.010398664,0.088358609,0.066208878,888000
15,0.079503208,0.089494551,0.080675614,0.073878845,0.155932667,0.131533874,0.104183485,0.048506809,0.046432858,0.06570918,0.032891103,0.01228039,753152,0.752007563,0.743448866,0.653905188,0.089543678,0.008558697,0.247992437,0.870132457,0.114862604,0.0717956,0.043067004,0.035688679,0.007378325,0.003023294,0.278054098,0.048581163,0.004725474,0.007331853,0.01989771,27.1,0.388738263,0.086692992,0.087050157,0.069954007,0.077315071,0.067726037,0.388738263,0.046167308,0.03307035,0.033106199,0.00960895,0.038373396,0.026632074,0.002905124,0.011214204,0.033063711,0.082063116,0.035387279,0.016610193,0.020536359,0.388738263,0.295034734,0.288453061,0.020517771,0.015995443,0.032434356,0.033742193,0.040426103,0.050697602,0.034578677,0.036681838,0.012358727,0.011020352,0.06692009,0.090911264,0.977409607,0.878410998,0.440517983,0.535789588,0.098998609,0.311998109,0.012892484,0.597470365,0.104948271,0.084358801,0.147554544,0.135177229,0.046312033,0.05685041,0.022269077,68.3,13.2,0.968083468,0.560072867,0.052776863,0.01141735,0.09270373,0.002274441,0.248838216,0.031916532,262400
16,0.058767721,0.050741348,0.056168163,0.056371827,0.194532959,0.154038043,0.135930952,0.065192614,0.05501196,0.064542408,0.039246369,0.015102736,790519,0.497982971,0.486036389,0.374861325,0.111175063,0.011946582,0.502017029,0.824457097,0.143654991,0.094362058,0.049292933,0.027689404,0.021603529,0.019876815,0.385015414,0.05664633,0.032057421,0.010276793,0.020988743,29,0.560331883,0.347892967,0.070642198,0.070160237,0.02607907,0.045557412,0.560331883,0.000650206,0.021867912,0.103630653,0.009320459,0.0405063,0.021030488,0.029446478,0.020476421,0.147253893,0.093522104,0.042579622,0.016718131,0.013329218,0.560331883,0.48812489,0.334809157,0.007863189,0.005119422,0.009846696,0.010068069,0.014742214,0.032491313,0.027986677,0.06203393,0.05127644,0.113381209,0.186802594,0.231728776,0.993623177,0.96328235,0.81872036,0.209915258,0.030340827,0.208396003,0.002018927,0.723598041,0.034305311,0.026571151,0.092350721,0.087171845,0.047909032,0.219758159,0.215531821,91.6,60.2,0.952868938,0.276132515,0.022666122,0.005865767,0.556023321,0.007530496,0.084650717,0.047131062,1137100
17,0.059082841,0.071361862,0.060221065,0.049518046,0.132466444,0.141207419,0.143227833,0.062806611,0.061353982,0.086810134,0.053102522,0.019648291,753806,0.687975421,0.67208937,0.46381695,0.20827242,0.01588605,0.312024579,0.848426518,0.123940377,0.073337172,0.050603206,0.028589584,0.022013622,0.015599504,0.357207292,0.037254944,0.019241025,0.014051361,0.039254132,28.7,0.504471973,0.333075088,0.053325391,0.073582593,0.022639777,0.021849123,0.504471973,0.002134501,0.023866884,0.063736558,0.007667755,0.039697217,0.010397901,0.02778301,0.029255538,0.124378156,0.114428646,0.034010077,0.015632669,0.011483061,0.504471973,0.424958146,0.360647169,0.008803326,0.007964914,0.009414889,0.012939669,0.021368893,0.034163963,0.032633065,0.053588058,0.042351746,0.137418646,0.198161065,0.291394603,0.994661756,0.956582994,0.824246557,0.23112578,0.038078763,0.24033372,0.006254925,0.700623237,0.018207602,0.014869874,0.075851081,0.088484305,0.042269496,0.218418267,0.242522612,95.3,65.8,0.948007843,0.625595976,0.02367718,0.002211444,0.24446343,0.001643659,0.050416155,0.051992157,1588400
18,0.054973662,0.07083596,0.0613598,0.067878813,0.154955358,0.138851716,0.13197611,0.063954931,0.056984414,0.084336337,0.039114076,0.018957744,737535,0.630323985,0.61185842,0.50219854,0.109659881,0.018465564,0.369676015,0.889232375,0.092798308,0.068648945,0.024149362,0.017487984,0.006661379,0.0080064,0.37855695,0.062691262,0.024835432,0.009599544,0.020725796,33.6,0.522890439,0.225224566,0.098025178,0.095732406,0.044232477,0.059675812,0.522890439,0.002714447,0.042528151,0.078217305,0.011975025,0.050969784,0.019961087,0.013033958,0.020815283,0.090959751,0.10312053,0.046631007,0.024653745,0.017310365,0.522890439,0.428729484,0.309860549,0.007767767,0.008700604,0.014838618,0.017469001,0.022405716,0.039678117,0.033507562,0.05505637,0.040059116,0.070377677,0.145403269,0.19525853,0.996119506,0.936610466,0.684546496,0.334173971,0.05950904,0.228588474,0.004268272,0.689130685,0.072076579,0.048917001,0.130404659,0.129417587,0.052396157,0.163843072,0.09207563,82.4,37.1,0.945091419,0.469263154,0.028223745,0.004951629,0.309935122,0.002662924,0.130054845,0.054908581,894400
19,0.064061156,0.069706594,0.079703385,0.078700471,0.135224941,0.129227675,0.113793038,0.058522211,0.05813129,0.090770492,0.039005821,0.016553479,741838,0.748570443,0.730143239,0.584964642,0.145178597,0.018427204,0.251429557,0.869329962,0.116123736,0.060564436,0.0555593,0.039778227,0.015781073,0.00402379,0.337410594,0.049350397,0.008245736,0.016523823,0.024602406,27.6,0.465222865,0.157524958,0.090469887,0.083837711,0.08488511,0.048505199,0.465222865,0.057610961,0.036649511,0.030069907,0.012524298,0.042582073,0.017762638,0.005498505,0.018593008,0.05040184,0.10179581,0.051918343,0.021608491,0.018207479,0.465222865,0.352887018,0.311566676,0.010472637,0.008280784,0.024677895,0.021466951,0.033109655,0.045772797,0.045096099,0.056334402,0.027322677,0.039032781,0.108461686,0.147669707,0.97723627,0.893997072,0.601518121,0.400308423,0.083239198,0.26080492,0.006765628,0.641228948,0.103494294,0.04876806,0.123405649,0.119887361,0.055162987,0.112337195,0.078173402,76.3,29.7,0.954894465,0.581963987,0.023846177,0.006152287,0.05823913,0.001980217,0.282712668,0.045105535,666600
