DATE,NETMIGNACS006073
2009-01-01,18894.0
2010-01-01,32481.0
2011-01-01,-7441.0
2012-01-01,-12764.0
2013-01-01,-20319.0
2014-01-01,-23982.0
2015-01-01,-31595.0
2016-01-01,-32145.0
2017-01-01,-30172.0
2018-01-01,-28214.0
2019-01-01,-25808.0
