DATE,NETMIGNACS006075
2009-01-01,-6718.0
2010-01-01,-3435.0
2011-01-01,-13191.0
2012-01-01,-12012.0
2013-01-01,-10949.0
2014-01-01,-11451.0
2015-01-01,-9245.0
2016-01-01,-9787.0
2017-01-01,-11883.0
2018-01-01,-14014.0
2019-01-01,-15816.0
