DATE,NETMIGNACS025025
2009-01-01,7550.0
2010-01-01,9993.0
2011-01-01,858.0
2012-01-01,1492.0
2013-01-01,-442.0
2014-01-01,-540.0
2015-01-01,-2638.0
2016-01-01,-3069.0
2017-01-01,-1828.0
2018-01-01,-3365.0
2019-01-01,-7815.0
