date,MHICA06047A052NCEN
1/1/97,29178
1/1/98,29859
1/1/99,32113
1/1/00,34474
1/1/01,34074
1/1/02,34689
1/1/03,36738
1/1/04,38792
1/1/05,40039
1/1/06,40447
1/1/07,43789
1/1/08,42629
1/1/09,39922
1/1/10,41730
1/1/11,40016
1/1/12,42552
1/1/13,41003
1/1/14,43818
1/1/15,42879
1/1/16,47442
1/1/17,48036
1/1/18,56169
1/1/19,59733
1/1/20,58998
